recipe_id,recipe_name,ingredients,cuisine,veg_nonveg,instructions,prep_time,difficulty,category,calories,image_url
1,Vegetable Pulao,"Basmati rice, carrot, green peas, onion, garlic, oil, cumin seeds, bay leaf, cardamom, cloves, cinnamon, turmeric powder, garam masala, salt, water",Indian,veg,"Wash and soak rice for 15 minutes and drain excess water. Heat oil in a deep pan on medium heat and add cumin seeds and whole spices until aromatic. Add sliced onion and saut until light golden brown, then add garlic and saut briefly. Add chopped carrot and peas and cook for 2 to 3 minutes. Add turmeric, garam masala, and salt and mix well. Add soaked rice and gently stir to coat with spices. Add water, bring to a boil, cover, and cook on low heat until rice is fully cooked and water is absorbed. Switch off heat, rest for a few minutes, fluff gently, and serve hot.",30,Easy,Lunch,250,https://media.istockphoto.com/id/980078660/photo/indian-vegetable-pulav-or-biryani-made-using-basmati-rice-served-in-a-ceramic-bowl-selective.jpg?s=1024x1024&w=is&k=20&c=ydu4zVDwAaDx_RTb3v70Yif1348nItnSLr41n8zyAxk=
2,Paneer Butter Masala,"Paneer, butter, oil, onion, tomato, ginger, garlic, cashew nuts, red chili powder, turmeric powder, garam masala, coriander powder, kasuri methi, fresh cream, salt, water",Indian,veg,"Heat butter and a little oil in a pan on medium heat and saut chopped onion until soft and light golden. Add ginger and garlic and saut briefly until fragrant. Add chopped tomatoes and cashew nuts and cook until tomatoes turn soft and oil begins to separate. Cool the mixture slightly and blend into a smooth puree. Return the puree to the pan, add red chili powder, turmeric, coriander powder, garam masala, and salt, and cook until the gravy thickens. Add paneer cubes and mix gently to coat with the gravy. Pour in water as needed for consistency, add cream and crushed kasuri methi, and simmer for 5 to 7 minutes. Adjust seasoning and serve hot.",35,Medium,Dinner,250,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?q=80&w=387&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
3,Chicken Curry,"Chicken, oil, onion, tomato, ginger, garlic, green chili, turmeric powder, red chili powder, coriander powder, garam masala, cumin seeds, bay leaf, salt, water",Indian,non-veg,"Heat oil in a pan on medium heat and add cumin seeds and bay leaf until aromatic. Add finely chopped onion and saut until golden brown. Add ginger, garlic, and green chili and saut briefly until fragrant. Add turmeric, red chili powder, coriander powder, garam masala, and salt and cook for a few seconds. Add chicken pieces and cook until lightly browned and coated with spices. Add chopped tomatoes and cook until soft and oil starts separating from the masala. Add water, mix well, cover, and simmer on low heat until chicken is fully cooked and gravy thickens. Adjust seasoning and serve hot.",40,Medium,Dinner,400,https://images.unsplash.com/photo-1631292784640-2b24be784d5d?q=80&w=580&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
4,Aloo Gobi,"Potato, cauliflower, oil, onion, ginger, garlic, green chili, cumin seeds, turmeric powder, red chili powder, coriander powder, garam masala, salt",Indian,veg,"Heat oil in a pan on medium heat and add cumin seeds until they crackle. Add chopped onion and saut until light golden. Add ginger, garlic, and green chili and saut briefly until fragrant. Add turmeric, red chili powder, coriander powder, and salt and mix well. Add diced potatoes and cauliflower florets and toss to coat with spices. Cover and cook on low heat, stirring occasionally, until vegetables are tender. Uncover and cook further until potatoes and cauliflower are lightly roasted. Sprinkle garam masala, mix gently, and serve hot.",30,Easy,Dinner,250,https://media.istockphoto.com/id/1153272097/photo/aloo-gobi-with-rice-and-chapati-indian-cuisine-vegetarian-dish-decorated-with-lemon-and.jpg?s=1024x1024&w=is&k=20&c=9hnNGL1_GyqCdw-a_GtImncEcRLtT5lyCx-uj15tPgw=
5,Vegetable Pasta,"Pasta, oil, onion, garlic, carrot, beans, tomato, salt, black pepper, chili flakes, mixed Italian herbs, water",Italian,veg,"Boil pasta in salted water until al dente and drain, reserving a little cooking water. Heat oil in a pan on medium heat and saut chopped garlic until fragrant. Add sliced onion and cook until soft. Add chopped carrot and beans and cook until vegetables are tender. Add chopped tomatoes, salt, black pepper, chili flakes, and mixed Italian herbs and cook until slightly saucy. Add boiled pasta and a little reserved pasta water and toss well. Cook for 2 to 3 minutes until everything is well combined and serve warm.",25,Easy,Lunch,350,Images/Italian Food.jpg
6,Chicken Alfredo Pasta,"Pasta, chicken, butter, olive oil, garlic, fresh cream, parmesan cheese, salt, black pepper, Italian herbs, water",Italian,non-veg,"Boil pasta in salted water until al dente and drain, reserving some pasta water. Heat butter and a little olive oil in a pan on medium heat and saut chopped garlic until fragrant. Add chicken pieces seasoned with salt and pepper and cook until fully cooked and lightly golden. Lower the heat and pour in fresh cream, stirring gently to form a smooth sauce. Add grated parmesan cheese and Italian herbs and mix until the sauce thickens slightly. Add cooked pasta and a little reserved pasta water and toss until well coated. Adjust seasoning and serve hot.",30,Medium,Lunch,580,https://media.istockphoto.com/id/1159438262/photo/one-pot-chicken-alfredo-pasta-directly-above-photo.jpg?s=1024x1024&w=is&k=20&c=wt7eshRZGbouaPCQoO6Q-0E6a_pcTXW5a9XX_MB8klo=
7,Margherita Pizza,"Pizza base, tomato, mozzarella cheese, olive oil, garlic, salt, black pepper, dried oregano, fresh basil",Italian,veg,"Preheat the oven to 200 degrees Celsius. Crush or blend tomatoes with garlic, salt, and black pepper to form a simple sauce. Place the pizza base on a baking tray and spread the tomato sauce evenly. Add grated or sliced mozzarella cheese evenly on top. Drizzle olive oil and sprinkle dried oregano. Bake for 12 to 15 minutes until the cheese melts and the crust turns crisp. Garnish with fresh basil, slice, and serve hot.",25,Easy,Dinner,330,https://media.istockphoto.com/id/1414575281/photo/a-delicious-and-tasty-italian-pizza-margherita-with-tomatoes-and-buffalo-mozzarella.jpg?s=1024x1024&w=is&k=20&c=bwoUzONnFgIK65TQ7uUeSAlM78h-gCmKSR3nnGhb6AI=
8,Vegetable Fried Rice,"Rice, oil, garlic, spring onion, carrot, green peas, soy sauce, black pepper, salt",Chinese,veg,"Cook rice and spread it on a plate to cool completely. Heat oil in a wok on high heat and saut chopped garlic until aromatic. Add carrot and green peas and stir fry on high heat until slightly tender. Add cooled cooked rice and toss well to separate the grains. Add soy sauce, black pepper, and salt and stir fry for a few minutes until evenly mixed. Add chopped spring onion, mix well, and serve hot.",20,Easy,Lunch,250,https://media.istockphoto.com/id/2007197407/photo/chinese-cuisine-fried-rice-with-vegetables-fried-rice-in-plate-on-table.jpg?s=1024x1024&w=is&k=20&c=0WIrtteX1qHipqL6SPDB7x7vNkq0_zVxDSPLHpMDHQ0=
9,Chicken Manchurian,"Chicken, corn flour, all-purpose flour, oil, garlic, ginger, green chili, onion, spring onion, soy sauce, chili sauce, vinegar, black pepper, salt, water",Chinese,non-veg,"Mix chicken pieces with corn flour, all-purpose flour, salt, and black pepper to form a light coating. Heat oil and deep fry the chicken until crisp and golden, then drain excess oil. Heat a little oil in another pan on high heat and saut chopped garlic, ginger, and green chili until aromatic. Add sliced onion and stir fry briefly until slightly crunchy. Add soy sauce, chili sauce, vinegar, and a little water and mix well. Add fried chicken pieces and toss to coat evenly with the sauce. Cook for a few minutes until the sauce thickens, garnish with spring onion, and serve hot.",35,Medium,Dinner,400,https://media.istockphoto.com/id/667661262/photo/chicken-manchurian-indian-spicy-curry-food.jpg?s=1024x1024&w=is&k=20&c=ceks1yNnkCW4PXUy8mCdEfeGnWyfTm-to059GZL-zFM=
10,Vegetable Noodles,"Noodles, oil, garlic, spring onion, carrot, cabbage, soy sauce, black pepper, salt, water",Chinese,veg,"Boil noodles in salted water until just cooked and drain completely. Heat oil in a wok on high heat and saut chopped garlic until aromatic. Add carrot and cabbage and stir fry on high heat until slightly tender but still crunchy. Add boiled noodles and toss well to combine with vegetables. Add soy sauce, black pepper, and salt and stir fry for a few minutes until evenly mixed. Add chopped spring onion, toss once more, and serve hot.",20,Easy,Lunch,250,https://images.unsplash.com/photo-1757445060049-0531425f8643?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
